query,original_question,category,subclass,question_1,question_2,winner
[AO|WHOM] Give me a list of good coffee shops?,Give me a list of good coffee shops?,AO,WHOM,Question: What is the city or country of your favorite coffee shop?,WHOM is a location?,Question 1
[AO|WHOM] Give me some Mother's Day gift ideas.,Give me some Mother's Day gift ideas.,AO,WHOM,When do you come in with me?,"What type of gift do you mean, such as personal, material, or experiences?",Question 2
[AO|WHAT] Help me come up with 3 ideas for a new business and how I can start it,Help me come up with 3 ideas for a new business and how I can start it,AO,WHAT,WHAT is one of the businesses you want to start?,Which part would you like assistance with: developing new business ideas or outlining the steps to start a business?,Question 2
[AO|WHOM] Write the first paragraph of a blog post describing the Boston,Write the first paragraph of a blog post describing the Boston,AO,WHOM,WHAT was the name of his first dog?,END,Question 2
[AO|WHOM] Give me some tips on how to train for a marathon.,Give me some tips on how to train for a marathon.,AO,WHOM,I'm not sure if you're asking for the training plan or the race.,"For example, ""WHOM_???"" to specify whether it's for a beginner, advanced, male, female, or some other category.",Question 2
[AO|WHOM] How do you improve your basketball handles?,How do you improve your basketball handles?,AO,WHOM,请再分别问一下你、队友、或教练员三个队员？,When did you start playing basketball with bears?,Question 1
[AO|WHAT] How do I cast on a knitting project?,How do I cast on a knitting project?,AO,WHAT,Which type of yarn should I use on a knitting project?,Is this regarding the size of the project or the type of yarn you plan to use?,Question 2
[AO|WHOM] Give me a list of things I can do with a bunch of extra money.,Give me a list of things I can do with a bunch of extra money.,AO,WHOM,WHAT is a list of things I can do with a bunch of extra money.,WHAT is a list of things I can do with a bunch of extra money?,Question 1
"[AO|WHOM] Can you tell me recipe to make a quick dessert , tell me one which is your favorite.","Can you tell me recipe to make a quick dessert , tell me one which is your favorite.",AO,WHOM,NONE,EMPTY,Question 2
[AO|WHOM] Give me a list of 10 SciFi movies and which year they were released,Give me a list of 10 SciFi movies and which year they were released,AO,WHOM,What is the age of who among yourself are interested in sci fi movies?,baaaaaaaaaa.............,Question 1
[AO|WHAT] How do I optimize my Kafka consumption in Spark for low latency?,How do I optimize my Kafka consumption in Spark for low latency?,AO,WHAT,"Thus, the assistant would generate: UNF: ?","Wait, the user's query is: ""how do I optimize my Kafka consumption in Spark for low latency?"" But maybe the user is missing context like, for example, which Kafka consumer group, or which resources, etc.",Question 2
[AO|WHOM] Give me a list of the best movies I've never seen.,Give me a list of the best movies I've never seen.,AO,WHOM,WHO A-,Who or what exactly? The list includes individuals?,Question 2
[AO|WHOM] Give me a list of the 3 best activities to do with your kids when the weather is bad outside,Give me a list of the 3 best activities to do with your kids when the weather is bad outside,AO,WHOM,,none rephrase,Question 2
[AO|WHOM] How do you cook ribs?,How do you cook ribs?,AO,WHOM,The output for this question is a clarifying question (for UNF or WHOM) where the user may be the only one.,OVER 100 WHOM?,Question 1
[AO|WHOM] Give me some movie/tv series to learn English,Give me some movie/tv series to learn English,AO,WHOM,|output|What is your preferred entertainment medium? Movie or TV series?,x Who said?,Question 1
[AO|WHAT] How does a zipper work?,How does a zipper work?,AO,WHAT,STOP,END,Question 1
[AO|WHAT] How can I better learn a new language?,How can I better learn a new language?,AO,WHAT,WHEN?,WHAT is the new language you would like to learn?,Question 2
[AO|WHOM] How should I deal with my kid's allergy?,How should I deal with my kid's allergy?,AO,WHOM,/s Who should I get the information about the allergies in?,"Could you please specify who you mean by ""my kid""? Are you referring to one child, several children, or someone else?",Question 2
[AO|WHOM] Give me a list of ways to lose weight,Give me a list of ways to lose weight,AO,WHOM,"Please provide all the names,|",,Question 2
[AO|WHOM] How difficult is it to learn how to juggle?,How difficult is it to learn how to juggle?,AO,WHOM,Identify the group this passage contains:,"In the question 'how difficult is it to learn how to juggle?,' did the user refer to a specific type of juggling or a specific type of difficulty?",Question 2
[AO|WHOM] Give me a few ways that I can get stronger and in better shape before the next ski season.,Give me a few ways that I can get stronger and in better shape before the next ski season.,AO,WHOM,NONE,NONE,Question 2
[AO|WHEN] Give me a bulleted list of the last seven World Series winners,Give me a bulleted list of the last seven World Series winners,AO,WHEN,(user provided query with the topic of Last seven world series winners... but missing information about who),think}(L|WHEN)[WHEN] Who were the last seven World Series champions?,Question 2
[AO|WHOM] How do you find a college internship in your interested field of study?,How do you find a college internship in your interested field of study?,AO,WHOM,I'm a person who likes children for their parents to do internships for children?,WHAT is the college [SM-E-S] that offers internships with the [SM-A-ST] of chemical engineering?,Question 2
"[AO|WHAT] Tell me whether these states are in Eastern Time, Central Time, or neither","Tell me whether these states are in Eastern Time, Central Time, or neither",AO,WHAT,"So I'll output: ""Which states are you referring to in your question?"" or ""Could you please specify which states you are talking about?"" The instructions require output in a clarifying question not explanation.",WHAT are European country's capitals?,Question 1
[AO|WHOM] How can I decide what bike I should get?,How can I decide what bike I should get?,AO,WHOM,What are the specific requirements for the bike?,bWHOW Who am I deciding what bike I should get?,Question 1
[AO|WHOM] What to do when you are bored?,What to do when you are bored?,AO,WHOM,--- When to do what you need to do?,"Could you please specify who you're referring to when you ask, ""WHOM""?",Question 2
[AO|WHAT] Think up different ways to make a baby stop crying.,Think up different ways to make a baby stop crying.,AO,WHAT,WHAT are some ways to make a baby stop crying?,WHAT are different ways to stop baby crying up?,Question 1
